date,source,branch,commit,image,scenario_file,level_scenario,condition,agents,line_length,malfunction,variant,complete,total_agents,normalized_reward,steps,max_steps,planned_to_target,no_plan,final_states,stops_served,wall_s,notes
2026-06-28,prior_verified_notes,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L0_s4_a28_ll6_clean_seed11.pkl,L0_s4,clean,28,6,none,v6_default,28,28,0.998901775,,,28,0,"DONE=28",7,,small clean; V6 improved route-native stops 4->7 with completion unchanged
2026-06-28,prior_verified_notes,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L1_s1_a50_ll3_clean_seed11.pkl,L1_s1,clean,50,3,none,v6_default,50,50,0.999709049,,,50,0,"DONE=50",3,,small clean guard unchanged
2026-06-28,prior_verified_notes,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L3_s1_a50_ll3_malf540_seed11.pkl,L3_s1,malfunction,50,3,interval540_dur20_50,v6_default,32,50,0.889298807,,,,,"",2,,small malfunction guard unchanged
2026-06-28,prior_verified_notes,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L2_s2_a150_ll4_clean_seed11.pkl,L2_s2,clean,150,4,none,v6_default,125,150,0.885435356,5685,5685,125,25,"DONE=125;READY_TO_DEPART=25",,,"clean medium; finishes exactly the planned-to-target trains"
2026-06-28,prior_user_trace,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L4_s2_a150_ll4_malf360_seed11.pkl,L4_s2,malfunction,150,4,interval360_dur20_50,v6_default,37,150,0.646143653,5685,5685,125,25,"MALFUNCTION=12;STOPPED=69;DONE=37;READY_TO_DEPART=30;MALFUNCTION_OFF_MAP=2",,22.49,"older pasted trace; main blockage is head-to-head corridor swaps and queues"
2026-06-28,prior_user_trace,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L4_s2_a150_ll4_malf360_seed11.pkl,L4_s2,malfunction,150,4,interval360_dur20_50,frozen_reroute,40,150,0.652375257,5685,5685,125,25,"MALFUNCTION=12;STOPPED=66;DONE=40;READY_TO_DEPART=30;MALFUNCTION_OFF_MAP=2",,141.53,"improves +3 completions but very slow; not enabled by default"
2026-06-28,prior_user_trace,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L4_s2_a150_ll4_malf360_seed11.pkl,L4_s2,malfunction,150,4,interval360_dur20_50,stuck_replan,37,150,0.646143653,5685,5685,125,25,"MALFUNCTION=12;STOPPED=69;DONE=37;READY_TO_DEPART=30;MALFUNCTION_OFF_MAP=2",,25.43,"no improvement; triggers after swaps are already unrecoverable"
2026-06-28,prior_user_trace,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L4_s2_a150_ll4_malf360_seed11.pkl,L4_s2,malfunction,150,4,interval360_dur20_50,stuck_replan_40,37,150,0.646143653,5685,5685,125,25,"MALFUNCTION=12;STOPPED=69;DONE=37;READY_TO_DEPART=30;MALFUNCTION_OFF_MAP=2",,26.32,"same as baseline"
2026-06-28,prior_verified_notes,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L4_s2_a150_ll4_malf360_seed11.pkl,L4_s2,malfunction,150,4,interval360_dur20_50,force_abandoned_plans,25,150,0.648700088,5685,5685,150,0,"STOPPED increased to 101",,,"forcing abandoned trains on-map worsens throughput"
2026-06-28,prior_verified_notes,v6-dispatcher-multistop,fb18be6,submission/v6-multistop-smoke,L2_s4_a532_ll6_clean_seed11.pkl,L2_s4,clean,532,6,none,v6_default,171,532,0.698347296,,,,,,,,dense clean guard
2026-06-28,eval_pickle_load_new,v6-dispatcher-multistop,8b44c4d,submission/v6-multistop-smoke,L4_s2_a150_ll4_malf360_seed11.pkl,L4_s2,malfunction,150,4,interval360_dur20_50,v6_default,45,150,0.682238640,5685,5685,125,25,"DONE=45;STOPPED=65;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",,40.95,"current diagnostics/eval_pickle.py baseline using RailEnvPersister.load_new"
2026-06-28,eval_pickle_load_new,v6-dispatcher-multistop,8b44c4d,submission/v6-multistop-smoke,L4_s2_a150_ll4_malf360_seed11.pkl,L4_s2,malfunction,150,4,interval360_dur20_50,late_segment_guard,48,150,0.686561126,5685,5685,125,25,"DONE=48;STOPPED=62;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",,42.12,"new stale-timetable segment guard; +3 completions vs eval_pickle baseline"
2026-06-28,eval_pickle_load_new,v6-dispatcher-multistop,8b44c4d,submission/v6-multistop-smoke,L2_s2_a150_ll4_clean_seed11.pkl,L2_s2,clean,150,4,none,late_segment_guard,125,150,0.885435356,5685,5685,125,25,"DONE=125;READY_TO_DEPART=25",,30.46,"clean medium unchanged with late_segment_guard"
2026-06-28,eval_pickle_load_new,v6-dispatcher-multistop,working_tree_after_8b44c4d,submission/v6-multistop-smoke,L4_s2_a150_ll4_malf360_seed11.pkl,L4_s2,malfunction,150,4,interval360_dur20_50,v6_default_late_segment_guard,48,150,0.686561126,5685,5685,125,25,"DONE=48;STOPPED=62;MALFUNCTION=13;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3",,47.97,"MyPolicy default after enabling late_segment_guard"
2026-06-28,eval_pickle_load_new,v6-dispatcher-multistop,working_tree_after_8b44c4d,submission/v6-multistop-smoke,L3_s1_a50_ll3_malf540_seed11.pkl,L3_s1,malfunction,50,3,interval540_dur20_50,v6_default_late_segment_guard,41,50,0.929095141,3437,3437,50,0,"DONE=41;STOPPED=8;MALFUNCTION=1",,10.57,"MyPolicy default after enabling late_segment_guard; prior baseline was 32/50"
2026-06-28,eval_pickle_load_new,v6-dispatcher-multistop,working_tree_after_8b44c4d,submission/v6-multistop-smoke,L2_s2_a150_ll4_clean_seed11.pkl,L2_s2,clean,150,4,none,v6_default_late_segment_guard,125,150,0.885435356,5685,5685,125,25,"DONE=125;READY_TO_DEPART=25",,35.65,"MyPolicy default after enabling late_segment_guard; clean medium unchanged"
