date,branch,scenario,experiment,complete,total,norm,planned_to_target,no_plan,states,wall_s,verdict,notes
2026-06-29,codex/clean-complete-v8,L2_s4_a532_ll6_clean_seed11.pkl,baseline_clean_completion_model,263,532,0.763103964,356,176,DONE=263;STOPPED=88;READY_TO_DEPART=181,501.51,baseline,"stoppage audit: offmap_no_plan=176 final; blocked_by_stopped_train=86 final"
2026-06-29,codex/clean-complete-v8,L2_s4_a532_ll6_clean_seed11.pkl,K_6_initial_plan_only,,,,344,188,,76.31,ruled_out,"K=6 fit one fewer initial plan than K=4"
2026-06-29,codex/clean-complete-v8,L2_s4_a532_ll6_clean_seed11.pkl,max_wait_1200_initial_plan_only,,,,345,187,,70.76,ruled_out,"same initial fit as max_wait=800"
2026-06-29,codex/clean-complete-v8,L2_s4_a532_ll6_clean_seed11.pkl,max_wait_1800_initial_plan_only,,,,345,187,,86.47,ruled_out,"same initial fit as max_wait=800"
2026-06-29,codex/clean-complete-v8,L2_s2_a150_ll4_clean_seed11.pkl,grid_weight_0_4,108,150,0.856320141,130,20,DONE=108;STOPPED=22;READY_TO_DEPART=20,76.78,removed,"route grid pressure hurt clean 150"
2026-06-29,codex/clean-complete-v8,L1_s4_a210_ll6_clean_seed11.pkl,grid_weight_0_4,164,210,0.930667096,201,9,DONE=164;STOPPED=37;READY_TO_DEPART=9,103.77,removed,"route grid pressure hurt clean 210"
2026-06-29,codex/clean-complete-v8,L2_s2_a150_ll4_clean_seed11.pkl,grid_admission_true,150,150,0.998061566,150,0,DONE=150,60.63,neutral,"runtime grid admission preserved clean 150"
2026-06-29,codex/clean-complete-v8,L1_s4_a210_ll6_clean_seed11.pkl,grid_admission_true,210,210,0.998575004,210,0,DONE=210,78.50,neutral,"runtime grid admission preserved clean 210"
2026-06-29,codex/clean-complete-v8,L2_s4_a532_ll6_clean_seed11.pkl,grid_admission_true,256,532,0.759934547,356,176,DONE=256;STOPPED=90;READY_TO_DEPART=186,446.26,removed,"runtime grid admission hurt 532 stress"
2026-06-29,codex/clean-complete-v8,L2_s2_a150_ll4_clean_seed11.pkl,clean_only_stuck_replan,150,150,0.998061566,150,0,DONE=150,47.00,kept,"preserves clean 150"
2026-06-29,codex/clean-complete-v8,L1_s4_a210_ll6_clean_seed11.pkl,clean_only_stuck_replan,210,210,0.998575004,210,0,DONE=210,57.78,kept,"preserves clean 210"
2026-06-29,codex/clean-complete-v8,L2_s4_a532_ll6_clean_seed11.pkl,clean_only_stuck_replan,294,532,0.795274573,300,133,DONE=294;STOPPED=100;READY_TO_DEPART=138,327.34,kept,"improves clean 532 and reduces no_plan from 176 to 133"
2026-06-29,codex/clean-complete-v8,L4_s2_a150_ll4_malf360_seed11.pkl,clean_only_stuck_replan_guard,52,150,0.703267077,125,25,DONE=52;MALFUNCTION=13;STOPPED=58;READY_TO_DEPART=24;MALFUNCTION_OFF_MAP=3,51.70,kept,"malfunction preserved because stuck replan is clean-only"
