step,blocked_by_adjacent_swap,blocked_by_malfunction_train,blocked_by_occupied_next,blocked_by_stopped_train,blocked_by_ungranted_train,held_by_late_guard,malfunction_off_map,malfunction_on_map,offmap_no_plan,offmap_ready_no_command,offmap_wait_departure
0,,,,,,,,,25,,125
100,,,,,,,13,1,24,,109
200,,,,,,,16,,23,,104
300,,,,,,,12,1,22,,108
400,,,,,,,10,2,23,,107
500,,,,,,,9,,22,,104
600,,,,,,,9,2,23,,99
700,,,,1,,1,16,1,23,,90
800,2,,,,,,8,,23,,92
900,2,,,,,,14,,21,,82
1000,,,,2,,1,7,2,24,,82
1100,2,1,,3,,,8,2,22,,79
1200,4,2,,1,,,6,4,25,,75
1300,6,,,4,,,11,1,23,,70
1400,4,1,,6,,,10,4,23,,67
1500,4,2,,6,,,3,4,24,,68
1600,2,1,,9,,2,10,3,25,,57
1700,4,3,,9,,,7,3,22,,60
1800,8,,,11,,,10,2,20,,55
1900,6,3,,13,,,4,4,23,,56
2000,8,,,19,,,5,,25,,50
2100,8,,,20,,1,3,,25,,47
2200,6,3,3,17,,3,7,3,23,,39
2300,8,3,,20,,1,6,5,22,,36
2400,6,7,,17,,1,3,7,24,,34
2500,12,,,24,,,9,4,19,,31
2600,10,5,,23,,,5,8,24,,26
2700,10,2,,28,,1,5,3,23,1,24
2800,12,5,,23,,1,3,7,23,1,24
2900,12,4,,33,,,10,2,20,1,19
3000,14,1,,29,,1,3,7,24,1,22
3100,18,4,,26,,,3,5,24,2,17
3200,16,5,,30,1,,4,4,24,2,14
3300,12,8,,33,,1,2,5,24,2,15
3400,18,3,,35,,,4,3,22,2,14
3500,16,3,,37,,1,4,4,21,2,11
3600,14,6,,34,,1,1,9,25,2,9
3700,18,5,,36,,1,,6,25,2,9
3800,18,9,,33,,,3,7,23,2,7
3900,18,2,,43,,1,1,5,24,2,5
4000,16,5,,41,,,5,6,23,,4
4100,18,6,,43,,,3,3,24,1,3
4200,14,6,,45,,1,5,6,20,2,2
4300,16,4,,50,,,4,3,22,1,2
4400,18,8,,37,,,2,10,23,2,2
4500,16,11,,36,,1,2,9,23,2,1
4600,18,5,,43,,,1,8,24,2,1
4700,12,7,,49,,1,2,5,24,1,1
4800,12,5,,50,,1,3,6,22,2,
4900,10,7,,48,,1,3,9,22,2,
5000,12,11,,42,,,,10,25,2,
5100,14,9,,39,,,4,13,22,1,
5200,18,7,,42,,,3,8,22,2,
5300,12,6,,50,,1,5,6,20,2,
5400,12,10,,45,,1,2,7,23,2,
5500,18,4,,48,,,2,5,23,2,
5600,16,10,,41,,,2,8,24,1,
