handle,state,reason,position,target,blocker,desired,plan_index,lateness
3,MALFUNCTION,malfunction_on_map,105:95,60:34,,,,
4,MALFUNCTION,malfunction_on_map,18:20,78:121,,,,
5,STOPPED,blocked_by_stopped_train,18:23,44:12,130,18:22,,
6,MALFUNCTION,malfunction_on_map,81:116,44:16,,,,
7,MALFUNCTION,malfunction_on_map,18:19,112:140,,,,
12,STOPPED,blocked_by_stopped_train,79:68,60:34,121,78:68,,
14,STOPPED,blocked_by_malfunction_train,75:85,81:141,49,75:86,,
17,STOPPED,blocked_by_stopped_train,18:24,60:10,5,18:23,,
18,STOPPED,blocked_by_stopped_train,80:115,47:91,76,80:116,,
19,STOPPED,blocked_by_adjacent_swap,50:65,82:105,116,49:65,,
21,STOPPED,blocked_by_adjacent_swap,103:46,76:86,109,104:46,,
22,STOPPED,timetable_wait,70:66,91:22,,,1,0
23,STOPPED,blocked_by_stopped_train,106:96,99:47,43,106:95,,
24,STOPPED,blocked_by_adjacent_swap,74:75,91:22,57,74:74,,
26,STOPPED,blocked_by_stopped_train,105:46,78:121,109,104:46,,
30,READY_TO_DEPART,offmap_no_plan,,92:63,,,,
31,READY_TO_DEPART,offmap_no_plan,,55:138,,,,
33,STOPPED,blocked_by_stopped_train,80:119,80:105,81,80:118,,
34,STOPPED,timetable_wait,52:129,80:121,,,1,0
35,STOPPED,held_by_late_guard,14:110,7:110,,13:110,,
36,STOPPED,held_by_late_guard,105:94,63:119,,105:95,,
40,STOPPED,blocked_by_stopped_train,12:110,111:70,62,13:110,,
41,READY_TO_DEPART,offmap_no_plan,,7:112,,,,
42,STOPPED,blocked_by_stopped_train,69:65,76:86,68,69:66,,
43,STOPPED,held_by_late_guard,106:95,67:67,,106:94,,
44,STOPPED,blocked_by_stopped_train,75:84,80:105,14,75:85,,
45,READY_TO_DEPART,offmap_no_plan,,82:42,,,,
46,STOPPED,blocked_by_stopped_train,53:144,78:105,104,53:145,,
47,READY_TO_DEPART,offmap_no_plan,,23:129,,,,
48,STOPPED,blocked_by_stopped_train,48:65,76:86,116,49:65,,
49,MALFUNCTION,malfunction_on_map,75:86,10:19,,,,
51,READY_TO_DEPART,offmap_no_plan,,10:19,,,,
55,STOPPED,blocked_by_malfunction_train,18:18,91:22,7,18:19,,
56,STOPPED,blocked_by_malfunction_train,74:77,44:12,117,74:76,,
57,STOPPED,blocked_by_adjacent_swap,74:74,76:86,24,74:75,,
58,READY_TO_DEPART,offmap_ready_no_command,,49:91,,,,
59,READY_TO_DEPART,offmap_no_plan,,76:86,,,,
60,READY_TO_DEPART,offmap_no_plan,,60:10,,,,
62,STOPPED,blocked_by_stopped_train,13:110,44:14,35,14:110,,
63,STOPPED,held_by_late_guard,18:21,7:112,,18:22,,
64,STOPPED,blocked_by_stopped_train,76:68,23:129,110,75:68,,
65,STOPPED,timetable_wait,52:145,107:28,,,1,0
67,STOPPED,blocked_by_stopped_train,106:97,82:42,23,106:96,,
68,STOPPED,blocked_by_stopped_train,69:66,22:111,22,70:66,,
72,STOPPED,blocked_by_stopped_train,46:65,108:92,127,47:65,,
73,MALFUNCTION_OFF_MAP,malfunction_off_map,,22:76,,,,
76,STOPPED,held_by_late_guard,80:116,63:119,,80:115,,
77,READY_TO_DEPART,offmap_no_plan,,82:42,,,,
80,STOPPED,blocked_by_stopped_train,68:66,108:140,68,69:66,,
81,STOPPED,blocked_by_stopped_train,80:118,22:109,132,80:117,,
82,STOPPED,blocked_by_stopped_train,76:69,46:66,64,76:68,,
83,READY_TO_DEPART,offmap_no_plan,,60:10,,,,
84,STOPPED,blocked_by_stopped_train,80:68,7:112,12,79:68,,
85,STOPPED,blocked_by_stopped_train,18:26,91:22,91,18:25,,
86,READY_TO_DEPART,offmap_ready_no_command,,22:109,,,,
87,STOPPED,held_by_late_guard,74:68,76:86,,74:69,,
88,READY_TO_DEPART,offmap_no_plan,,76:86,,,,
89,READY_TO_DEPART,offmap_no_plan,,47:91,,,,
91,STOPPED,blocked_by_stopped_train,18:25,47:91,17,18:24,,
92,STOPPED,blocked_by_stopped_train,80:120,92:63,33,80:119,,
93,STOPPED,blocked_by_stopped_train,52:130,63:119,34,52:129,,
94,READY_TO_DEPART,offmap_no_plan,,82:42,,,,
95,MALFUNCTION,malfunction_on_map,106:94,112:140,,,,
99,MALFUNCTION,malfunction_on_map,53:143,110:140,,,,
102,READY_TO_DEPART,offmap_no_plan,,51:138,,,,
104,STOPPED,blocked_by_stopped_train,53:145,44:12,65,52:145,,
105,READY_TO_DEPART,offmap_no_plan,,63:119,,,,
106,STOPPED,blocked_by_stopped_train,75:83,82:121,44,75:84,,
107,READY_TO_DEPART,offmap_no_plan,,107:30,,,,
108,STOPPED,blocked_by_malfunction_train,106:93,96:108,95,106:94,,
109,STOPPED,blocked_by_adjacent_swap,104:46,58:34,21,103:46,,
110,STOPPED,timetable_wait,75:68,81:141,,,1,0
111,READY_TO_DEPART,offmap_no_plan,,7:112,,,,
114,READY_TO_DEPART,offmap_no_plan,,44:16,,,,
116,STOPPED,blocked_by_adjacent_swap,49:65,83:141,19,50:65,,
117,MALFUNCTION,malfunction_on_map,74:76,67:65,,,,
118,STOPPED,blocked_by_stopped_train,75:67,91:22,110,75:68,,
120,READY_TO_DEPART,offmap_no_plan,,106:92,,,,
121,STOPPED,blocked_by_stopped_train,78:68,7:110,138,77:68,,
124,MALFUNCTION,malfunction_on_map,72:68,96:108,,,,
125,STOPPED,blocked_by_malfunction_train,81:112,32:45,145,80:112,,
126,STOPPED,blocked_by_stopped_train,77:69,32:45,82,76:69,,
127,STOPPED,blocked_by_stopped_train,47:65,82:42,48,48:65,,
128,MALFUNCTION,malfunction_on_map,80:111,99:47,,,,
130,STOPPED,blocked_by_stopped_train,18:22,44:16,63,18:21,,
131,STOPPED,blocked_by_stopped_train,81:68,10:19,84,80:68,,
132,STOPPED,blocked_by_stopped_train,80:117,7:110,76,80:116,,
133,MALFUNCTION_OFF_MAP,malfunction_off_map,,84:121,,,,
138,STOPPED,blocked_by_stopped_train,77:68,30:45,64,76:68,,
139,MALFUNCTION,malfunction_on_map,19:21,82:42,,,,
140,MALFUNCTION,malfunction_on_map,73:68,85:141,,,,
142,READY_TO_DEPART,offmap_no_plan,,110:140,,,,
143,READY_TO_DEPART,offmap_no_plan,,46:68,,,,
145,MALFUNCTION,malfunction_on_map,80:112,96:108,,,,
146,READY_TO_DEPART,offmap_no_plan,,47:91,,,,
147,STOPPED,blocked_by_malfunction_train,53:142,109:70,99,53:143,,
148,MALFUNCTION_OFF_MAP,malfunction_off_map,,20:76,,,,
149,STOPPED,blocked_by_stopped_train,15:110,92:63,35,14:110,,
