step,blocked_by_adjacent_swap,blocked_by_malfunction_train,blocked_by_occupied_next,blocked_by_stopped_train,blocked_by_ungranted_train,held_by_late_guard,malfunction_off_map,malfunction_on_map,offmap_no_plan,offmap_ready_no_command,offmap_wait_departure,timetable_wait
0,,,,,,,,,25,,125,
100,,,,,,,13,1,24,,109,
200,,,,,,,16,,23,,104,
300,,,,,,,12,1,22,,108,
400,,,,,,,10,2,23,,107,
500,,,,,,,9,,22,,104,
600,,,,,,,9,2,23,,99,
700,,,,1,,1,16,1,23,,90,
800,,,,1,,1,8,,23,,92,
900,,,,,,,14,,21,,82,1
1000,,1,,,,,7,2,24,,82,1
1100,2,1,,,,1,8,2,22,,79,1
1200,2,,,1,,3,6,3,25,,75,1
1300,2,,,3,,2,11,1,23,,70,2
1400,2,,,3,,2,10,4,23,,67,3
1500,,1,,3,,2,3,4,24,,68,3
1600,2,1,,5,,3,10,3,25,,57,3
1700,2,1,,6,,4,7,3,22,,60,3
1800,2,,,9,,4,10,2,20,,55,4
1900,,1,,11,,4,4,4,23,,56,4
2000,2,,,13,,4,5,,25,,50,4
2100,2,,,15,,5,3,,25,,47,4
2200,2,1,1,16,,6,7,2,23,,39,4
2300,2,2,,17,,5,6,4,22,,36,3
2400,2,5,,13,,5,3,7,24,,34,3
2500,2,1,,21,,4,9,4,19,,31,5
2600,4,3,,19,,4,5,7,24,,26,5
2700,4,2,,23,,4,5,3,23,1,24,4
2800,4,3,,23,,6,3,5,23,1,24,4
2900,4,3,,28,,5,10,2,20,1,19,5
3000,4,,,26,,6,3,7,24,1,22,5
3100,6,1,,28,,6,3,3,24,2,17,5
3200,8,1,,27,1,7,4,4,24,2,14,4
3300,6,4,,31,,5,2,4,24,2,15,5
3400,8,2,,33,,5,4,2,22,2,14,5
3500,8,1,,32,,6,4,4,21,2,11,5
3600,6,6,,30,,5,1,8,25,2,9,4
3700,8,6,,31,,5,,6,25,2,9,5
3800,8,3,,34,,7,3,7,23,2,7,4
3900,8,1,,40,,6,1,5,24,2,5,5
4000,8,3,,38,,5,5,5,23,,4,5
4100,6,3,,43,,7,3,3,24,1,3,4
4200,8,5,,40,,4,5,6,20,2,2,5
4300,6,4,,46,,6,4,3,22,1,2,4
4400,6,6,,39,,5,2,8,23,2,2,5
4500,6,7,,39,,5,2,8,23,2,1,5
4600,6,4,,41,,6,1,8,24,2,1,5
4700,6,6,,44,,5,2,5,24,1,1,4
4800,6,2,,47,,5,3,6,22,2,,4
4900,4,9,,39,,5,3,9,22,2,,5
5000,6,5,,39,,7,,10,25,2,,4
5100,8,3,,38,,7,4,12,22,1,,3
5200,8,7,,37,,6,3,8,22,2,,5
5300,4,4,,47,,6,5,6,20,2,,4
5400,4,9,,41,,5,2,7,23,2,,5
5500,8,5,,43,,5,2,5,23,2,,5
5600,6,6,,40,,6,2,8,24,1,,5
