blocker,count,state,position
63,11434,STOPPED,18:21
24,8243,STOPPED,74:75
76,7716,STOPPED,80:116
110,7215,STOPPED,75:68
35,6594,STOPPED,14:110
68,6590,STOPPED,69:66
43,6371,STOPPED,106:95
64,6329,STOPPED,76:68
14,5187,STOPPED,75:85
116,4736,STOPPED,49:65
57,4305,STOPPED,74:74
62,3898,STOPPED,13:110
145,3898,MALFUNCTION,80:112
109,3631,STOPPED,104:46
22,3565,STOPPED,70:66
130,3558,STOPPED,18:22
87,3301,STOPPED,74:68
3,3295,MALFUNCTION,105:95
140,3276,MALFUNCTION,73:68
117,3265,MALFUNCTION,74:76
34,3261,STOPPED,52:129
4,3237,MALFUNCTION,18:20
5,3019,STOPPED,18:23
49,2944,MALFUNCTION,75:86
138,2850,STOPPED,77:68
17,2820,STOPPED,18:24
121,2765,STOPPED,78:68
44,2578,STOPPED,75:84
19,2330,STOPPED,50:65
82,2326,STOPPED,76:69
21,2284,STOPPED,103:46
132,2230,STOPPED,80:117
95,2153,MALFUNCTION,106:94
7,2037,MALFUNCTION,18:19
48,2023,STOPPED,48:65
65,1988,STOPPED,52:145
23,1875,STOPPED,106:96
81,1781,STOPPED,80:118
127,1758,STOPPED,47:65
33,1705,STOPPED,80:119
104,1688,STOPPED,53:145
12,1437,STOPPED,79:68
91,1426,STOPPED,18:25
84,1319,STOPPED,80:68
46,1094,STOPPED,53:144
99,734,MALFUNCTION,53:143
93,46,STOPPED,52:130
75,36,DONE,
0,23,DONE,
53,1,DONE,
