handle,state,reason,position,target,blocker,desired,plan_index,lateness
1,STOPPED,blocked_by_stopped_train,55:128,78:121,98,54:128,,
3,MALFUNCTION,malfunction_on_map,106:95,60:34,,,,
4,MALFUNCTION,malfunction_on_map,18:20,78:121,,,,
5,STOPPED,blocked_by_stopped_train,18:23,44:12,130,18:22,,
6,MALFUNCTION,malfunction_on_map,81:116,44:16,,,,
7,MALFUNCTION,malfunction_on_map,18:19,112:140,,,,
12,STOPPED,blocked_by_stopped_train,75:67,60:34,121,74:67,,
14,STOPPED,blocked_by_malfunction_train,75:85,81:141,49,75:86,,
17,STOPPED,blocked_by_stopped_train,18:25,60:10,62,18:24,,
18,STOPPED,blocked_by_stopped_train,80:115,47:91,76,80:116,,
19,STOPPED,blocked_by_stopped_train,44:65,82:105,149,43:65,,
21,STOPPED,blocked_by_adjacent_swap,103:46,76:86,109,104:46,,
22,STOPPED,held_by_late_guard,70:67,91:22,,69:67,,
23,STOPPED,blocked_by_stopped_train,106:97,99:47,43,106:96,,
24,STOPPED,blocked_by_stopped_train,71:68,91:22,119,71:67,,
26,STOPPED,blocked_by_stopped_train,105:46,78:121,109,104:46,,
30,READY_TO_DEPART,offmap_no_plan,,92:63,,,,
31,READY_TO_DEPART,offmap_no_plan,,55:138,,,,
33,STOPPED,blocked_by_stopped_train,80:119,80:105,81,80:118,,
34,STOPPED,held_by_late_guard,53:129,80:121,,53:130,,
35,STOPPED,blocked_by_stopped_train,53:130,7:110,34,53:129,,
36,STOPPED,blocked_by_malfunction_train,105:95,63:119,3,106:95,,
40,STOPPED,blocked_by_malfunction_train,65:67,111:70,124,66:67,,
41,READY_TO_DEPART,offmap_no_plan,,7:112,,,,
42,STOPPED,blocked_by_stopped_train,69:66,76:86,68,70:66,,
43,STOPPED,blocked_by_malfunction_train,106:96,67:67,3,106:95,,
44,STOPPED,blocked_by_stopped_train,75:84,80:105,14,75:85,,
45,READY_TO_DEPART,offmap_no_plan,,82:42,,,,
46,STOPPED,blocked_by_stopped_train,53:144,78:105,65,53:145,,
47,READY_TO_DEPART,offmap_no_plan,,23:129,,,,
48,STOPPED,blocked_by_stopped_train,42:65,76:86,149,43:65,,
49,MALFUNCTION,malfunction_on_map,75:86,10:19,,,,
51,READY_TO_DEPART,offmap_no_plan,,10:19,,,,
55,STOPPED,blocked_by_malfunction_train,18:18,91:22,7,18:19,,
56,STOPPED,blocked_by_malfunction_train,73:68,44:12,117,72:68,,
57,STOPPED,blocked_by_stopped_train,69:67,76:86,22,70:67,,
58,READY_TO_DEPART,offmap_ready_no_command,,49:91,,,,
59,READY_TO_DEPART,offmap_no_plan,,76:86,,,,
60,READY_TO_DEPART,offmap_no_plan,,60:10,,,,
62,STOPPED,blocked_by_stopped_train,18:24,44:14,5,18:23,,
63,STOPPED,held_by_late_guard,18:21,7:112,,18:22,,
64,STOPPED,blocked_by_stopped_train,72:67,23:129,119,71:67,,
65,STOPPED,held_by_late_guard,53:145,107:28,,54:145,,
67,STOPPED,blocked_by_stopped_train,106:98,82:42,23,106:97,,
68,STOPPED,blocked_by_stopped_train,70:66,22:111,22,70:67,,
72,STOPPED,blocked_by_stopped_train,40:65,108:92,127,41:65,,
73,MALFUNCTION_OFF_MAP,malfunction_off_map,,22:76,,,,
76,STOPPED,held_by_late_guard,80:116,63:119,,80:115,,
77,READY_TO_DEPART,offmap_no_plan,,82:42,,,,
80,STOPPED,blocked_by_stopped_train,63:67,108:140,118,64:67,,
81,STOPPED,blocked_by_stopped_train,80:118,22:109,132,80:117,,
82,STOPPED,blocked_by_stopped_train,74:68,46:66,56,73:68,,
83,READY_TO_DEPART,offmap_no_plan,,60:10,,,,
84,STOPPED,blocked_by_stopped_train,76:68,7:112,126,75:68,,
85,STOPPED,blocked_by_stopped_train,18:27,91:22,91,18:26,,
86,READY_TO_DEPART,offmap_ready_no_command,,22:109,,,,
87,STOPPED,blocked_by_stopped_train,70:68,76:86,24,71:68,,
88,READY_TO_DEPART,offmap_no_plan,,76:86,,,,
89,READY_TO_DEPART,offmap_no_plan,,47:91,,,,
91,STOPPED,blocked_by_stopped_train,18:26,47:91,17,18:25,,
92,STOPPED,blocked_by_stopped_train,55:127,92:63,1,55:128,,
93,STOPPED,blocked_by_stopped_train,54:145,63:119,65,53:145,,
94,READY_TO_DEPART,offmap_no_plan,,82:42,,,,
95,MALFUNCTION,malfunction_on_map,106:94,112:140,,,,
98,STOPPED,blocked_by_stopped_train,54:128,53:138,137,53:128,,
99,MALFUNCTION,malfunction_on_map,53:143,110:140,,,,
102,READY_TO_DEPART,offmap_no_plan,,51:138,,,,
104,STOPPED,blocked_by_stopped_train,55:126,44:12,92,55:127,,
105,READY_TO_DEPART,offmap_no_plan,,63:119,,,,
106,STOPPED,blocked_by_stopped_train,75:83,82:121,44,75:84,,
107,READY_TO_DEPART,offmap_no_plan,,107:30,,,,
108,STOPPED,blocked_by_malfunction_train,106:93,96:108,95,106:94,,
109,STOPPED,blocked_by_adjacent_swap,104:46,58:34,21,103:46,,
110,STOPPED,blocked_by_stopped_train,68:67,81:141,57,69:67,,
111,READY_TO_DEPART,offmap_no_plan,,7:112,,,,
114,READY_TO_DEPART,offmap_no_plan,,44:16,,,,
116,STOPPED,blocked_by_stopped_train,64:66,83:141,118,64:67,,
117,MALFUNCTION,malfunction_on_map,72:68,67:65,,,,
