step,blocked_by_adjacent_swap,blocked_by_malfunction_train,blocked_by_occupied_next,blocked_by_stopped_train,blocked_by_ungranted_train,held_by_late_guard,malfunction_off_map,malfunction_on_map,offmap_no_plan,offmap_ready_no_command,offmap_wait_departure
0,,,,,,,,,25,,125
100,,,,,,,13,1,24,,109
200,,,,,,,16,,23,,104
300,,,,,,,12,1,22,,108
400,,,,,,,10,2,23,,107
500,,,,,,,9,,22,,104
600,,,,,,,9,2,23,,99
700,,,,1,,1,16,1,23,,90
800,,,,1,,1,8,,23,,92
900,,,,1,,1,14,,21,,82
1000,,,,2,,1,7,2,24,,82
1100,,1,,4,,1,8,2,22,,79
1200,,1,,3,,3,6,4,25,,75
1300,,,,7,,3,11,1,23,,70
1400,,,,8,,3,10,4,23,,67
1500,,1,,8,,3,3,4,24,,68
1600,,,,10,,4,10,3,25,,57
1700,,1,,11,,4,7,3,22,,60
1800,,,,15,,4,10,2,20,,55
1900,,2,,16,,4,4,4,23,,56
2000,,,,23,,4,5,,25,,50
2100,,,,24,,5,3,,25,,47
2200,,3,3,20,,6,7,3,23,,39
2300,,3,,24,,5,6,5,22,,36
2400,,7,,20,,4,3,7,24,,34
2500,,,,30,,6,9,4,19,,31
2600,2,4,,27,,5,5,8,24,,26
2700,2,2,,32,,5,5,3,23,1,24
2800,2,5,,28,,6,3,7,23,1,24
2900,2,3,,38,,6,10,2,20,1,19
3000,2,1,,35,,7,3,7,24,1,22
3100,2,4,,34,,8,3,5,24,2,17
3200,4,4,,36,1,7,4,4,24,2,14
3300,4,6,,37,,7,2,5,24,2,15
3400,4,3,,42,,7,4,3,22,2,14
3500,4,2,,43,,8,4,4,21,2,11
3600,4,5,,39,,7,1,9,25,2,9
3700,4,5,,43,,8,,6,25,2,9
3800,4,9,,40,,7,3,7,23,2,7
3900,4,2,,50,,8,1,5,24,2,5
4000,4,4,,47,,7,5,6,23,,4
4100,4,6,,50,,7,3,3,24,1,3
4200,4,5,,50,,7,5,6,20,2,2
4300,4,3,,56,,7,4,3,22,1,2
4400,4,8,,44,,7,2,10,23,2,2
4500,4,11,,43,,7,2,9,23,2,1
4600,2,5,,51,,8,1,8,24,2,1
4700,2,7,,54,,6,2,5,24,1,1
4800,2,5,,55,,6,3,6,22,2,
4900,2,4,,52,,8,3,9,22,2,
5000,4,9,,46,,6,,10,25,2,
5100,4,8,,44,,6,4,13,22,1,
5200,4,6,,49,,8,3,8,22,2,
5300,2,5,,55,,7,5,6,20,2,
5400,2,9,,50,,7,2,7,23,2,
5500,4,3,,55,,8,2,5,23,2,
5600,4,8,,47,,8,2,8,24,1,
