blocker,count,state,position
22,12503,STOPPED,70:67
63,11434,STOPPED,18:21
3,10701,MALFUNCTION,106:95
119,8255,STOPPED,71:67
34,7995,STOPPED,53:129
24,7933,STOPPED,71:68
76,7716,STOPPED,80:116
118,5692,STOPPED,64:67
14,5187,STOPPED,75:85
65,4985,STOPPED,53:145
149,4736,STOPPED,43:65
57,4350,STOPPED,69:67
145,3898,MALFUNCTION,80:112
137,3726,STOPPED,53:128
64,3653,STOPPED,72:67
109,3631,STOPPED,104:46
5,3597,STOPPED,18:23
130,3558,STOPPED,18:22
124,3465,MALFUNCTION,66:67
68,3409,STOPPED,70:66
110,3315,STOPPED,68:67
140,3297,MALFUNCTION,67:67
4,3237,MALFUNCTION,18:20
40,3233,STOPPED,65:67
117,3224,MALFUNCTION,72:68
62,3071,STOPPED,18:24
49,2944,MALFUNCTION,75:86
98,2904,STOPPED,54:128
138,2839,STOPPED,73:67
17,2823,STOPPED,18:25
121,2750,STOPPED,74:67
43,2715,STOPPED,106:96
56,2654,STOPPED,73:68
44,2578,STOPPED,75:84
82,2314,STOPPED,74:68
21,2284,STOPPED,103:46
132,2230,STOPPED,80:117
95,2153,MALFUNCTION,106:94
48,2041,STOPPED,42:65
7,2037,MALFUNCTION,18:19
1,2033,STOPPED,55:128
92,1935,STOPPED,55:127
23,1877,STOPPED,106:97
81,1781,STOPPED,80:118
127,1770,STOPPED,41:65
126,1429,STOPPED,75:68
91,1428,STOPPED,18:26
84,1315,STOPPED,76:68
46,1094,STOPPED,53:144
104,772,STOPPED,55:126
